movie_id,title,genres,keywords,overview,release_year,vote_average,combined_content,processed_content
16,Finding Nemo,Animation Adventure Comedy Family,ocean fish father rescue journey,A timid clownfish crosses the ocean to rescue his lost son.,2003,8.2,Animation Adventure Comedy Family Animation Adventure Comedy Family Animation Adventure Comedy Family ocean fish father rescue journey ocean fish father rescue journey A timid clownfish crosses the ocean to rescue his lost son.,animation adventure comedy family animation adventure comedy family animation adventure comedy family ocean fish father rescue journey ocean fish father rescue journey timid clownfish crosses ocean rescue his lost son
17,The Lion King,Animation Adventure Drama Family,lion prince kingdom courage family,A young lion prince must accept responsibility and reclaim his kingdom.,1994,8.5,Animation Adventure Drama Family Animation Adventure Drama Family Animation Adventure Drama Family lion prince kingdom courage family lion prince kingdom courage family A young lion prince must accept responsibility and reclaim his kingdom.,animation adventure drama family animation adventure drama family animation adventure drama family lion prince kingdom courage family lion prince kingdom courage family young lion prince must accept responsibility reclaim his kingdom
18,Coco,Animation Adventure Family Music,family music memory afterlife mexican,A boy enters the land of the dead to uncover family history and follow his musical dream.,2017,8.4,Animation Adventure Family Music Animation Adventure Family Music Animation Adventure Family Music family music memory afterlife mexican family music memory afterlife mexican A boy enters the land of the dead to uncover family history and follow his musical dream.,animation adventure family music animation adventure family music animation adventure family music family music memory afterlife mexican family music memory afterlife mexican boy enters land dead uncover family history follow his musical dream
19,Up,Animation Adventure Comedy Drama,balloons old man journey friendship,An elderly widower floats his house to South America and finds friendship with a young scout.,2009,8.3,Animation Adventure Comedy Drama Animation Adventure Comedy Drama Animation Adventure Comedy Drama balloons old man journey friendship balloons old man journey friendship An elderly widower floats his house to South America and finds friendship with a young scout.,animation adventure comedy drama animation adventure comedy drama animation adventure comedy drama balloons old man journey friendship balloons old man journey friendship elderly widower floats his house south america finds friendship young scout
20,WALL-E,Animation Adventure Science Fiction Romance,robot earth space love environment,A lonely trash robot on an abandoned Earth discovers love and a chance to save humanity.,2008,8.4,Animation Adventure Science Fiction Romance Animation Adventure Science Fiction Romance Animation Adventure Science Fiction Romance robot earth space love environment robot earth space love environment A lonely trash robot on an abandoned Earth discovers love and a chance to save humanity.,animation adventure science fiction romance animation adventure science fiction romance animation adventure science fiction romance robot earth space love environment robot earth space love environment lonely trash robot abandoned earth discovers love chance save humanity
21,Titanic,Drama Romance,ship disaster love class tragedy,A poor artist and wealthy young woman fall in love aboard a doomed ocean liner.,1997,7.9,Drama Romance Drama Romance Drama Romance ship disaster love class tragedy ship disaster love class tragedy A poor artist and wealthy young woman fall in love aboard a doomed ocean liner.,drama romance drama romance drama romance ship disaster love class tragedy ship disaster love class tragedy poor artist wealthy young woman fall love aboard doomed ocean liner
22,The Notebook,Drama Romance,love memory summer relationship,An elderly man reads a passionate love story to a woman with fading memory.,2004,7.8,Drama Romance Drama Romance Drama Romance love memory summer relationship love memory summer relationship An elderly man reads a passionate love story to a woman with fading memory.,drama romance drama romance drama romance love memory summer relationship love memory summer relationship elderly man reads passionate love story woman fading memory
23,La La Land,Comedy Drama Music Romance,jazz dreams hollywood love ambition,A musician and an actress fall in love while pursuing dreams in Los Angeles.,2016,8.0,Comedy Drama Music Romance Comedy Drama Music Romance Comedy Drama Music Romance jazz dreams hollywood love ambition jazz dreams hollywood love ambition A musician and an actress fall in love while pursuing dreams in Los Angeles.,comedy drama music romance comedy drama music romance comedy drama music romance jazz dreams hollywood love ambition jazz dreams hollywood love ambition musician actress fall love pursuing dreams los angeles
24,A Star Is Born,Drama Music Romance,singer fame addiction relationship,A famous musician helps a talented singer rise while struggling with addiction.,2018,7.6,Drama Music Romance Drama Music Romance Drama Music Romance singer fame addiction relationship singer fame addiction relationship A famous musician helps a talented singer rise while struggling with addiction.,drama music romance drama music romance drama music romance singer fame addiction relationship singer fame addiction relationship famous musician helps talented singer rise struggling addiction
25,The Social Network,Biography Drama,facebook startup ambition betrayal coding,The founding of a social media giant leads to conflict over friendship ownership and ambition.,2010,7.8,Biography Drama Biography Drama Biography Drama facebook startup ambition betrayal coding facebook startup ambition betrayal coding The founding of a social media giant leads to conflict over friendship ownership and ambition.,biography drama biography drama biography drama facebook startup ambition betrayal coding facebook startup ambition betrayal coding founding social media giant leads conflict over friendship ownership ambition
26,The Imitation Game,Biography Drama Thriller,code war genius encryption history,A brilliant mathematician works to crack enemy codes during World War II while hiding personal secrets.,2014,8.0,Biography Drama Thriller Biography Drama Thriller Biography Drama Thriller code war genius encryption history code war genius encryption history A brilliant mathematician works to crack enemy codes during World War II while hiding personal secrets.,biography drama thriller biography drama thriller biography drama thriller code war genius encryption history code war genius encryption history brilliant mathematician works crack enemy codes during world war ii hiding personal secrets
27,The Pursuit of Happyness,Biography Drama,father poverty persistence salesman hope,A struggling father fights homelessness while pursuing a career-changing opportunity.,2006,8.0,Biography Drama Biography Drama Biography Drama father poverty persistence salesman hope father poverty persistence salesman hope A struggling father fights homelessness while pursuing a career-changing opportunity.,biography drama biography drama biography drama father poverty persistence salesman hope father poverty persistence salesman hope struggling father fights homelessness pursuing career changing opportunity
28,Forrest Gump,Drama Romance,life history kindness destiny journey,A kind man with a simple outlook experiences major moments in American history.,1994,8.8,Drama Romance Drama Romance Drama Romance life history kindness destiny journey life history kindness destiny journey A kind man with a simple outlook experiences major moments in American history.,drama romance drama romance drama romance life history kindness destiny journey life history kindness destiny journey kind man simple outlook experiences major moments american history
29,The Shawshank Redemption,Drama,prison hope friendship escape injustice,A wrongly convicted banker forms a friendship in prison and quietly plans for freedom.,1994,9.3,Drama Drama Drama prison hope friendship escape injustice prison hope friendship escape injustice A wrongly convicted banker forms a friendship in prison and quietly plans for freedom.,drama drama drama prison hope friendship escape injustice prison hope friendship escape injustice wrongly convicted banker forms friendship prison quietly plans freedom
30,Fight Club,Drama Thriller,identity consumerism underground rebellion twist,An alienated office worker forms an underground fight club that becomes something dangerous.,1999,8.8,Drama Thriller Drama Thriller Drama Thriller identity consumerism underground rebellion twist identity consumerism underground rebellion twist An alienated office worker forms an underground fight club that becomes something dangerous.,drama thriller drama thriller drama thriller identity consumerism underground rebellion twist identity consumerism underground rebellion twist alienated office worker forms underground fight club becomes something dangerous
31,Shutter Island,Mystery Thriller,island asylum investigation memory twist,A marshal investigates a disappearance at a mental institution and questions reality.,2010,8.2,Mystery Thriller Mystery Thriller Mystery Thriller island asylum investigation memory twist island asylum investigation memory twist A marshal investigates a disappearance at a mental institution and questions reality.,mystery thriller mystery thriller mystery thriller island asylum investigation memory twist island asylum investigation memory twist marshal investigates disappearance mental institution questions reality
32,Gone Girl,Drama Mystery Thriller,marriage disappearance media deception,A missing wife case reveals secrets and manipulation inside a troubled marriage.,2014,8.1,Drama Mystery Thriller Drama Mystery Thriller Drama Mystery Thriller marriage disappearance media deception marriage disappearance media deception A missing wife case reveals secrets and manipulation inside a troubled marriage.,drama mystery thriller drama mystery thriller drama mystery thriller marriage disappearance media deception marriage disappearance media deception missing wife case reveals secrets manipulation inside troubled marriage
33,Se7en,Crime Mystery Thriller,serial killer detectives sins dark,Two detectives hunt a serial killer whose crimes are based on the seven deadly sins.,1995,8.6,Crime Mystery Thriller Crime Mystery Thriller Crime Mystery Thriller serial killer detectives sins dark serial killer detectives sins dark Two detectives hunt a serial killer whose crimes are based on the seven deadly sins.,crime mystery thriller crime mystery thriller crime mystery thriller serial killer detectives sins dark serial killer detectives sins dark two detectives hunt serial killer whose crimes based seven deadly sins
34,The Silence of the Lambs,Crime Drama Thriller,fbi serial killer psychology investigation,A young FBI trainee seeks help from an imprisoned cannibal psychiatrist to catch a killer.,1991,8.6,Crime Drama Thriller Crime Drama Thriller Crime Drama Thriller fbi serial killer psychology investigation fbi serial killer psychology investigation A young FBI trainee seeks help from an imprisoned cannibal psychiatrist to catch a killer.,crime drama thriller crime drama thriller crime drama thriller fbi serial killer psychology investigation fbi serial killer psychology investigation young fbi trainee seeks help imprisoned cannibal psychiatrist catch killer
35,Knives Out,Comedy Crime Mystery,detective family mansion inheritance,A detective investigates the suspicious death of a wealthy novelist among a family of suspects.,2019,7.9,Comedy Crime Mystery Comedy Crime Mystery Comedy Crime Mystery detective family mansion inheritance detective family mansion inheritance A detective investigates the suspicious death of a wealthy novelist among a family of suspects.,comedy crime mystery comedy crime mystery comedy crime mystery detective family mansion inheritance detective family mansion inheritance detective investigates suspicious death wealthy novelist among family suspects
36,Parasite,Comedy Drama Thriller,class family deception poverty wealthy,"A poor family infiltrates a wealthy household, triggering a sharp class conflict.",2019,8.5,"Comedy Drama Thriller Comedy Drama Thriller Comedy Drama Thriller class family deception poverty wealthy class family deception poverty wealthy A poor family infiltrates a wealthy household, triggering a sharp class conflict.",comedy drama thriller comedy drama thriller comedy drama thriller class family deception poverty wealthy class family deception poverty wealthy poor family infiltrates wealthy household triggering sharp class conflict
37,Joker,Crime Drama Thriller,loneliness society clown violence origin,A troubled man in Gotham descends into violence after rejection and humiliation.,2019,8.4,Crime Drama Thriller Crime Drama Thriller Crime Drama Thriller loneliness society clown violence origin loneliness society clown violence origin A troubled man in Gotham descends into violence after rejection and humiliation.,crime drama thriller crime drama thriller crime drama thriller loneliness society clown violence origin loneliness society clown violence origin troubled man gotham descends violence after rejection humiliation
38,The Godfather,Crime Drama,mafia family power loyalty betrayal,The aging head of a crime family transfers power while his son is drawn into violence.,1972,9.2,Crime Drama Crime Drama Crime Drama mafia family power loyalty betrayal mafia family power loyalty betrayal The aging head of a crime family transfers power while his son is drawn into violence.,crime drama crime drama crime drama mafia family power loyalty betrayal mafia family power loyalty betrayal aging head crime family transfers power his son drawn violence
39,Goodfellas,Biography Crime Drama,mafia gangster loyalty rise fall,A young man rises through organized crime and faces the cost of loyalty and greed.,1990,8.7,Biography Crime Drama Biography Crime Drama Biography Crime Drama mafia gangster loyalty rise fall mafia gangster loyalty rise fall A young man rises through organized crime and faces the cost of loyalty and greed.,biography crime drama biography crime drama biography crime drama mafia gangster loyalty rise fall mafia gangster loyalty rise fall young man rises through organized crime faces cost loyalty greed
40,The Departed,Crime Drama Thriller,undercover police mafia identity betrayal,An undercover cop and a mole inside the police try to expose each other.,2006,8.5,Crime Drama Thriller Crime Drama Thriller Crime Drama Thriller undercover police mafia identity betrayal undercover police mafia identity betrayal An undercover cop and a mole inside the police try to expose each other.,crime drama thriller crime drama thriller crime drama thriller undercover police mafia identity betrayal undercover police mafia identity betrayal undercover cop mole inside police try expose each other
41,Spirited Away,Animation Adventure Fantasy,spirit world girl courage magic,A young girl enters a mysterious spirit world and must save her parents.,2001,8.6,Animation Adventure Fantasy Animation Adventure Fantasy Animation Adventure Fantasy spirit world girl courage magic spirit world girl courage magic A young girl enters a mysterious spirit world and must save her parents.,animation adventure fantasy animation adventure fantasy animation adventure fantasy spirit world girl courage magic spirit world girl courage magic young girl enters mysterious spirit world must save her parents
42,Your Name,Animation Drama Fantasy Romance,body swap comet love fate,Two teenagers mysteriously swap bodies and become connected across time.,2016,8.4,Animation Drama Fantasy Romance Animation Drama Fantasy Romance Animation Drama Fantasy Romance body swap comet love fate body swap comet love fate Two teenagers mysteriously swap bodies and become connected across time.,animation drama fantasy romance animation drama fantasy romance animation drama fantasy romance body swap comet love fate body swap comet love fate two teenagers mysteriously swap bodies become connected across time
43,Black Panther,Action Adventure Science Fiction,superhero kingdom wakanda technology legacy,A new king protects his advanced nation while facing a challenge rooted in family history.,2018,7.3,Action Adventure Science Fiction Action Adventure Science Fiction Action Adventure Science Fiction superhero kingdom wakanda technology legacy superhero kingdom wakanda technology legacy A new king protects his advanced nation while facing a challenge rooted in family history.,action adventure science fiction action adventure science fiction action adventure science fiction superhero kingdom wakanda technology legacy superhero kingdom wakanda technology legacy new king protects his advanced nation facing challenge rooted family history
44,Doctor Strange,Action Adventure Fantasy,magic surgeon multiverse time sorcery,A brilliant surgeon learns mystic arts after an accident changes his life.,2016,7.5,Action Adventure Fantasy Action Adventure Fantasy Action Adventure Fantasy magic surgeon multiverse time sorcery magic surgeon multiverse time sorcery A brilliant surgeon learns mystic arts after an accident changes his life.,action adventure fantasy action adventure fantasy action adventure fantasy magic surgeon multiverse time sorcery magic surgeon multiverse time sorcery brilliant surgeon learns mystic arts after accident changes his life
45,Mad Max: Fury Road,Action Adventure Science Fiction,desert chase survival rebellion post apocalyptic,A drifter and a warrior flee a tyrant across a wasteland in a relentless chase.,2015,8.1,Action Adventure Science Fiction Action Adventure Science Fiction Action Adventure Science Fiction desert chase survival rebellion post apocalyptic desert chase survival rebellion post apocalyptic A drifter and a warrior flee a tyrant across a wasteland in a relentless chase.,action adventure science fiction action adventure science fiction action adventure science fiction desert chase survival rebellion post apocalyptic desert chase survival rebellion post apocalyptic drifter warrior flee tyrant across wasteland relentless chase
46,The Martian,Adventure Drama Science Fiction,mars astronaut survival science rescue,An astronaut stranded on Mars uses science and humor to survive until rescue.,2015,8.0,Adventure Drama Science Fiction Adventure Drama Science Fiction Adventure Drama Science Fiction mars astronaut survival science rescue mars astronaut survival science rescue An astronaut stranded on Mars uses science and humor to survive until rescue.,adventure drama science fiction adventure drama science fiction adventure drama science fiction mars astronaut survival science rescue mars astronaut survival science rescue astronaut stranded mars uses science humor survive until rescue
47,Gravity,Drama Science Fiction Thriller,space survival astronaut disaster isolation,Two astronauts struggle to survive after debris destroys their shuttle.,2013,7.7,Drama Science Fiction Thriller Drama Science Fiction Thriller Drama Science Fiction Thriller space survival astronaut disaster isolation space survival astronaut disaster isolation Two astronauts struggle to survive after debris destroys their shuttle.,drama science fiction thriller drama science fiction thriller drama science fiction thriller space survival astronaut disaster isolation space survival astronaut disaster isolation two astronauts struggle survive after debris destroys shuttle
48,Whiplash,Drama Music,drummer ambition teacher pressure jazz,A young drummer faces an abusive instructor while chasing musical greatness.,2014,8.5,Drama Music Drama Music Drama Music drummer ambition teacher pressure jazz drummer ambition teacher pressure jazz A young drummer faces an abusive instructor while chasing musical greatness.,drama music drama music drama music drummer ambition teacher pressure jazz drummer ambition teacher pressure jazz young drummer faces abusive instructor chasing musical greatness
49,Inside Out,Animation Adventure Comedy Drama,emotions childhood memory family growth,The emotions inside a young girl's mind guide her through a difficult move.,2015,8.1,Animation Adventure Comedy Drama Animation Adventure Comedy Drama Animation Adventure Comedy Drama emotions childhood memory family growth emotions childhood memory family growth The emotions inside a young girl's mind guide her through a difficult move.,animation adventure comedy drama animation adventure comedy drama animation adventure comedy drama emotions childhood memory family growth emotions childhood memory family growth emotions inside young girl s mind guide her through difficult move
50,Dangal,Action Biography Drama Sport,wrestling father daughters discipline india,A former wrestler trains his daughters to compete and challenge social expectations.,2016,8.3,Action Biography Drama Sport Action Biography Drama Sport Action Biography Drama Sport wrestling father daughters discipline india wrestling father daughters discipline india A former wrestler trains his daughters to compete and challenge social expectations.,action biography drama sport action biography drama sport action biography drama sport wrestling father daughters discipline india wrestling father daughters discipline india former wrestler trains his daughters compete challenge social expectations
51,Avengers: Infinity War,Action Adventure Science Fiction,superhero thanos infinity stones battle universe,The Avengers and their allies fight to stop Thanos from collecting powerful stones and destroying half the universe.,2018,8.4,Action Adventure Science Fiction Action Adventure Science Fiction Action Adventure Science Fiction superhero thanos infinity stones battle universe superhero thanos infinity stones battle universe The Avengers and their allies fight to stop Thanos from collecting powerful stones and destroying half the universe.,action adventure science fiction action adventure science fiction action adventure science fiction superhero thanos infinity stones battle universe superhero thanos infinity stones battle universe avengers allies fight stop thanos collecting powerful stones destroying half universe
52,Avengers: Endgame,Action Adventure Drama Science Fiction,superhero time travel sacrifice team thanos,Surviving heroes attempt a dangerous time travel mission to reverse a devastating cosmic defeat.,2019,8.4,Action Adventure Drama Science Fiction Action Adventure Drama Science Fiction Action Adventure Drama Science Fiction superhero time travel sacrifice team thanos superhero time travel sacrifice team thanos Surviving heroes attempt a dangerous time travel mission to reverse a devastating cosmic defeat.,action adventure drama science fiction action adventure drama science fiction action adventure drama science fiction superhero time travel sacrifice team thanos superhero time travel sacrifice team thanos surviving heroes attempt dangerous time travel mission reverse devastating cosmic defeat
53,Spider-Man: No Way Home,Action Adventure Fantasy Science Fiction,spiderman multiverse identity villains magic,Peter Parker faces multiverse chaos after a spell brings dangerous enemies into his world.,2021,8.2,Action Adventure Fantasy Science Fiction Action Adventure Fantasy Science Fiction Action Adventure Fantasy Science Fiction spiderman multiverse identity villains magic spiderman multiverse identity villains magic Peter Parker faces multiverse chaos after a spell brings dangerous enemies into his world.,action adventure fantasy science fiction action adventure fantasy science fiction action adventure fantasy science fiction spiderman multiverse identity villains magic spiderman multiverse identity villains magic peter parker faces multiverse chaos after spell brings dangerous enemies his world
54,The Batman,Action Crime Drama Mystery,detective gotham riddler corruption vigilante,Batman investigates a sadistic killer whose clues expose corruption across Gotham city.,2022,7.8,Action Crime Drama Mystery Action Crime Drama Mystery Action Crime Drama Mystery detective gotham riddler corruption vigilante detective gotham riddler corruption vigilante Batman investigates a sadistic killer whose clues expose corruption across Gotham city.,action crime drama mystery action crime drama mystery action crime drama mystery detective gotham riddler corruption vigilante detective gotham riddler corruption vigilante batman investigates sadistic killer whose clues expose corruption across gotham city
55,Man of Steel,Action Adventure Science Fiction,superman alien earth hero origin,An alien raised on Earth must decide his purpose when his home world threatens humanity.,2013,7.1,Action Adventure Science Fiction Action Adventure Science Fiction Action Adventure Science Fiction superman alien earth hero origin superman alien earth hero origin An alien raised on Earth must decide his purpose when his home world threatens humanity.,action adventure science fiction action adventure science fiction action adventure science fiction superman alien earth hero origin superman alien earth hero origin alien raised earth must decide his purpose when his home world threatens humanity
56,Wonder Woman,Action Adventure Fantasy,amazon warrior war courage hero,An Amazon princess enters the world of humans to stop a war and discover her destiny.,2017,7.4,Action Adventure Fantasy Action Adventure Fantasy Action Adventure Fantasy amazon warrior war courage hero amazon warrior war courage hero An Amazon princess enters the world of humans to stop a war and discover her destiny.,action adventure fantasy action adventure fantasy action adventure fantasy amazon warrior war courage hero amazon warrior war courage hero amazon princess enters world humans stop war discover her destiny
57,Captain America: The Winter Soldier,Action Adventure Thriller,spy conspiracy soldier shield friendship,Captain America uncovers a hidden conspiracy while facing a mysterious assassin from his past.,2014,7.8,Action Adventure Thriller Action Adventure Thriller Action Adventure Thriller spy conspiracy soldier shield friendship spy conspiracy soldier shield friendship Captain America uncovers a hidden conspiracy while facing a mysterious assassin from his past.,action adventure thriller action adventure thriller action adventure thriller spy conspiracy soldier shield friendship spy conspiracy soldier shield friendship captain america uncovers hidden conspiracy facing mysterious assassin his past
58,Thor: Ragnarok,Action Adventure Comedy Fantasy,thor hulk asgard apocalypse comedy,Thor must escape a distant planet and save Asgard from a powerful threat.,2017,7.9,Action Adventure Comedy Fantasy Action Adventure Comedy Fantasy Action Adventure Comedy Fantasy thor hulk asgard apocalypse comedy thor hulk asgard apocalypse comedy Thor must escape a distant planet and save Asgard from a powerful threat.,action adventure comedy fantasy action adventure comedy fantasy action adventure comedy fantasy thor hulk asgard apocalypse comedy thor hulk asgard apocalypse comedy thor must escape distant planet save asgard powerful threat
59,Ant-Man,Action Comedy Science Fiction,superhero shrinking heist technology thief,A skilled thief becomes a tiny hero using a shrinking suit for a high stakes mission.,2015,7.3,Action Comedy Science Fiction Action Comedy Science Fiction Action Comedy Science Fiction superhero shrinking heist technology thief superhero shrinking heist technology thief A skilled thief becomes a tiny hero using a shrinking suit for a high stakes mission.,action comedy science fiction action comedy science fiction action comedy science fiction superhero shrinking heist technology thief superhero shrinking heist technology thief skilled thief becomes tiny hero using shrinking suit high stakes mission
60,Deadpool,Action Comedy Adventure,antihero mercenary revenge humor mutant,A wisecracking mercenary seeks revenge after an experiment gives him unusual powers.,2016,8.0,Action Comedy Adventure Action Comedy Adventure Action Comedy Adventure antihero mercenary revenge humor mutant antihero mercenary revenge humor mutant A wisecracking mercenary seeks revenge after an experiment gives him unusual powers.,action comedy adventure action comedy adventure action comedy adventure antihero mercenary revenge humor mutant antihero mercenary revenge humor mutant wisecracking mercenary seeks revenge after experiment gives him unusual powers
