movie_id,title,genres,keywords,overview,release_year,vote_average
76,Life of Pi,Adventure Drama Fantasy,survival ocean tiger faith journey,A young man survives a shipwreck while sharing a lifeboat with a tiger.,2012,7.9
77,The Lion King,Animation Adventure Drama Family,lion kingdom father destiny courage,A young lion prince learns responsibility after tragedy forces him away from home.,1994,8.5
78,Up,Animation Adventure Comedy Drama,balloons old man friendship adventure,An elderly man flies his house with balloons and finds friendship on an unexpected journey.,2009,8.3
79,Ratatouille,Animation Adventure Comedy Family,rat chef cooking paris dream,A talented rat dreams of becoming a chef in a famous Paris restaurant.,2007,8.1
80,Monsters Inc.,Animation Adventure Comedy Family,monsters children friendship doors energy,Two monsters discover that laughter and friendship are stronger than fear.,2001,8.1
81,How to Train Your Dragon,Animation Adventure Family Fantasy,dragon viking friendship courage,A young Viking befriends a dragon and changes how his village sees the creatures.,2010,8.1
82,Kung Fu Panda,Animation Action Adventure Comedy,panda kung fu destiny training hero,A clumsy panda is chosen to become a kung fu hero and protect his valley.,2008,7.6
83,Shrek,Animation Adventure Comedy Fantasy,ogre princess fairytale friendship,An ogre goes on a quest to rescue a princess and discovers unexpected friendship.,2001,7.9
84,Frozen,Animation Adventure Comedy Family,sisters ice magic kingdom love,Two royal sisters must heal their kingdom after magical ice powers create danger.,2013,7.4
85,The Pursuit of Happyness,Biography Drama,father son poverty hope perseverance,A struggling father fights homelessness while trying to build a better future for his son.,2006,8.0
86,The Green Mile,Crime Drama Fantasy,prison miracle compassion death row,A prison guard discovers a death row inmate with a mysterious healing gift.,1999,8.6
87,12 Angry Men,Crime Drama,jury justice doubt courtroom decision,A juror challenges others to reconsider a murder case and examine reasonable doubt.,1957,9.0
88,The Wolf of Wall Street,Biography Comedy Crime Drama,stock market greed money fraud ambition,A stockbroker rises through wealth and excess before facing the consequences of fraud.,2013,8.2
89,Catch Me If You Can,Biography Crime Drama,con artist pilot fraud chase,A young con artist creates false identities while an FBI agent tries to catch him.,2002,8.1
90,Slumdog Millionaire,Drama Romance,quiz india destiny love poverty,A young man from Mumbai answers questions on a game show through memories of his life.,2008,8.0
91,3 Idiots,Comedy Drama,college friendship engineering dreams pressure,Three engineering students question academic pressure and search for their real passion.,2009,8.4
92,PK,Comedy Drama Science Fiction,alien religion society questions india,An alien stranded on Earth questions social beliefs while searching for his lost device.,2014,8.1
93,Taare Zameen Par,Drama Family,child dyslexia art teacher school,A caring teacher helps a misunderstood child with dyslexia discover his talent.,2007,8.3
94,Lagaan,Drama Musical Sport,cricket village colonial tax freedom,Villagers challenge colonial rulers to a cricket match to avoid an unfair tax.,2001,8.1
95,RRR,Action Drama,friendship rebellion revolution india action,Two brave men form a powerful friendship while fighting against colonial rule.,2022,7.8
96,Baahubali: The Beginning,Action Drama Fantasy,kingdom warrior destiny revenge epic,A young man discovers his royal past and becomes part of an epic kingdom conflict.,2015,8.0
97,Baahubali 2: The Conclusion,Action Drama Fantasy,king revenge family kingdom war,A prince rises to reclaim justice and reveal the truth behind a kingdom betrayal.,2017,8.2
98,Kantara,Action Adventure Drama Thriller,village tradition forest spirit conflict,A village conflict connects law land and ancient spiritual traditions.,2022,8.2
99,Vikram,Action Crime Thriller,agent drugs revenge undercover,A special investigator uncovers a dangerous criminal network linked to a masked warrior.,2022,8.3
100,Drishyam,Crime Drama Mystery Thriller,family crime investigation secret,A father protects his family after a crime draws them into a tense police investigation.,2015,8.2
101,The Godfather Part II,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2016,8.1
102,Pulp Fiction,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",2017,8.2
103,Saving Private Ryan,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2018,8.3
104,Schindler's List,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",2019,8.4
105,Taxi Driver,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",2020,8.5
106,Raging Bull,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",2021,8.6
107,Casino,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2022,8.7
108,Heat,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",2023,8.8
109,Scarface,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",2024,8.9
110,The Untouchables,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",1970,9.0
111,The Irishman,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",1971,9.1
112,Once Upon a Time in America,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",1972,6.4
113,A Bronx Tale,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",1973,6.5
114,Zodiac,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",1974,6.6
115,Prisoners,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",1975,6.7
116,Mystic River,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",1976,6.8
117,L.A. Confidential,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",1977,6.9
118,Django Unchained,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",1978,7.0
119,Inglourious Basterds,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",1979,7.1
120,Once Upon a Time in Hollywood,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",1980,7.2
121,Kill Bill: Vol. 1,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",1981,7.3
122,Kill Bill: Vol. 2,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",1982,7.4
123,Reservoir Dogs,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",1983,7.5
124,The Hateful Eight,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",1984,7.6
125,Jackie Brown,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",1985,7.7
126,No Country for Old Men,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",1986,7.8
127,Fargo,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",1987,7.9
128,The Big Lebowski,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",1988,8.0
129,O Brother Where Art Thou,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",1989,8.1
130,True Grit,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",1990,8.2
131,Unforgiven,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",1991,8.3
132,Gran Torino,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",1992,8.4
133,Million Dollar Baby,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",1993,8.5
134,American Sniper,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",1994,8.6
135,Sully,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",1995,8.7
136,The Mule,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",1996,8.8
137,Letters from Iwo Jima,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",1997,8.9
138,Kingdom of Heaven,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",1998,9.0
139,Troy,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",1999,9.1
140,Alexander,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",2000,6.4
141,300,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",2001,6.5
142,The Last Samurai,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",2002,6.6
143,Master and Commander,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2003,6.7
144,Apocalypto,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",2004,6.8
145,The Patriot,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",2005,6.9
146,Black Hawk Down,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",2006,7.0
147,Hacksaw Ridge,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",2007,7.1
148,Dunkirk,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",2008,7.2
149,1917,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",2009,7.3
150,Fury,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",2010,7.4
151,Enemy at the Gates,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",2011,7.5
152,Pearl Harbor,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",2012,7.6
153,We Were Soldiers,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2013,7.7
154,The Hurt Locker,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",2014,7.8
155,Zero Dark Thirty,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",2015,7.9
156,Top Gun,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",2016,8.0
157,Mission: Impossible,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",2017,8.1
158,Mission: Impossible II,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",2018,8.2
159,Mission: Impossible III,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",2019,8.3
160,Mission: Impossible Ghost Protocol,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",2020,8.4
161,Mission: Impossible Rogue Nation,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",2021,8.5
162,Mission: Impossible Fallout,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",2022,8.6
163,Mission: Impossible Dead Reckoning,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",2023,8.7
164,Edge of Tomorrow,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",2024,8.8
165,Minority Report,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",1970,8.9
166,War of the Worlds,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",1971,9.0
167,Oblivion,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",1972,9.1
168,Jack Reacher,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",1973,6.4
169,Collateral,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",1974,6.5
170,Rain Man,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",1975,6.6
171,Jerry Maguire,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",1976,6.7
172,A Few Good Men,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",1977,6.8
173,The Firm,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",1978,6.9
174,John Wick: Chapter 2,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",1979,7.0
175,John Wick: Chapter 3,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",1980,7.1
176,John Wick: Chapter 4,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",1981,7.2
177,Speed,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",1982,7.3
178,Point Break,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",1983,7.4
179,The Equalizer,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",1984,7.5
180,The Equalizer 2,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",1985,7.6
181,Taken,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",1986,7.7
182,Taken 2,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",1987,7.8
183,The Bourne Identity,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",1988,7.9
184,The Bourne Supremacy,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",1989,8.0
185,The Bourne Ultimatum,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",1990,8.1
186,Jason Bourne,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",1991,8.2
187,Casino Royale,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",1992,8.3
188,Skyfall,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",1993,8.4
189,Spectre,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",1994,8.5
190,No Time to Die,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",1995,8.6
191,GoldenEye,Action Thriller,mission danger chase hero conspiracy combat,"A high-stakes mission pulls determined characters into danger, betrayal, and fast-moving conflict.",1996,8.7
192,Die Another Day,Drama,family ambition struggle emotion choice life,"A character-driven story explores personal choices, relationships, ambition, and emotional change.",1997,8.8
193,Die Hard,Crime Drama Thriller,detective crime mystery investigation justice,"An investigation uncovers hidden motives, moral pressure, and dangerous secrets.",1998,8.9
194,Die Hard 2,Science Fiction Adventure,future technology survival space discovery,"A futuristic journey tests survival, discovery, and the consequences of advanced technology.",1999,9.0
195,Die Hard with a Vengeance,Comedy,friendship humor mistake chaos fun,"Comic situations grow from misunderstandings, friendship, and unexpected turns.",2000,9.1
196,Live Free or Die Hard,Romance Drama,love relationship heartbreak hope emotion,"A romantic story follows love, conflict, heartbreak, and the hope of connection.",2001,6.4
197,Lethal Weapon,Animation Family Adventure,family friendship journey imagination heart,"An animated adventure celebrates friendship, courage, imagination, and family bonds.",2002,6.5
198,Lethal Weapon 2,Fantasy Adventure,magic quest kingdom legend destiny,"A fantasy quest sends heroes through magical worlds, legends, and tests of courage.",2003,6.6
199,Bad Boys,Horror Thriller,fear mystery survival darkness supernatural,"A frightening situation forces people to face fear, danger, and disturbing secrets.",2004,6.7
200,Bad Boys II,Biography Drama,true story success struggle history inspiration,"A biographical drama follows real-world struggle, achievement, and personal transformation.",2005,6.8
